 Location,Block,Floor,Area,18:4b:0d:23:60:78,44:1e:98:fb:55:d8,44:1e:98:3b:55:dc,44:1e:98:bb:55:d8,60:d0:2c:9f:63:98,60:d0:2c:df:63:98,44:1e:98:bb:55:dc,44:1e:98:3b:55:d8,18:4b:0d:a3:60:78,18:4b:0d:e3:60:78,44:1e:98:fb:55:dc,18:4b:0d:dc:30:98,18:4b:0d:1c:30:98,60:d0:2c:df:63:9c,18:4b:0d:a3:75:38,18:4b:0d:e3:75:38,18:4b:0d:9c:30:98,24:79:2a:34:ea:0d,18:4b:0d:dc:30:9c,58:b6:33:fa:1c:dc,24:79:2a:74:ea:0c,58:b6:33:3a:1c:dc,60:d0:2c:1f:63:98,58:b6:33:ba:1c:dc,60:d0:2c:9f:63:9c,18:4b:0d:1c:30:9c,18:4b:0d:9c:30:9c,60:d0:2c:1f:63:9c,24:79:2a:f4:ea:0c,24:79:2a:f4:ea:08,24:79:2a:74:ea:08,24:79:2a:34:ea:09,58:b6:33:3a:1c:d8,58:b6:33:ba:1c:d8,58:b6:33:fa:1c:d8,18:4b:0d:a3:75:3c,18:4b:0d:e3:75:3c,18:4b:0d:23:75:38,18:4b:0d:e3:60:7c,18:4b:0d:23:60:7c,18:4b:0d:a3:60:7c,18:4b:0d:23:75:3c,1c:b9:c4:3d:84:e8,1c:b9:c4:fd:84:e8,1c:b9:c4:bd:84:e8,1c:b9:c4:bd:84:ec,1c:b9:c4:3d:84:ec,1c:b9:c4:fd:84:ec,2c:c5:d3:e0:f8:b8,2c:c5:d3:a0:f8:b8,80:03:84:9a:69:68,5c:df:89:da:c4:08,5c:df:89:9a:c4:08,20:58:69:39:70:e8,d8:38:fc:b5:9b:58,d8:38:fc:b5:dc:e8,d8:38:fc:35:dd:28,d8:38:fc:75:dd:28,d8:38:fc:35:9b:58,d8:38:fc:75:9b:58,d8:38:fc:75:dd:2c,d8:38:fc:78:bc:38,20:58:69:79:70:e8,d8:38:fc:b5:d6:28,d8:38:fc:b5:dd:28,d8:38:fc:35:dc:e8,d8:38:fc:75:dc:e8,d8:38:fc:b5:dd:2c,d8:38:fc:35:d6:28,d8:38:fc:75:d6:28,20:58:69:b9:70:e8,d8:38:fc:b8:bc:38,5c:df:89:1a:c4:08,80:03:84:da:69:68,24:79:2a:f4:ea:38,24:79:2a:b4:ea:38,Time
 LAB_0_12PM_A_1,1,0,1.0,-76,-71,-63,-70,-64,-64,-62,-72,-82,-82,-50,-52,-53,-65,-83,-84,-52,-71,-68,-70,-71,-70,-65,-70,-65,-69,-68,-67,-71,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_10,10,0,1.0,-110,-81,-110,-80,-52,-52,-110,-81,-85,-110,-110,-75,-110,-69,-110,-110,-110,-67,-110,-77,-67,-77,-53,-77,-68,-110,-110,-70,-67,-63,-110,-110,-68,-67,-67,-85,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_11,11,0,1.0,-110,-81,-110,-80,-52,-52,-110,-81,-85,-110,-110,-110,-110,-69,-110,-110,-110,-67,-110,-77,-67,-77,-53,-77,-68,-110,-110,-70,-67,-110,-110,-110,-68,-67,-67,-85,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_12,12,0,1.0,-110,-81,-110,-80,-52,-52,-110,-81,-85,-110,-110,-110,-110,-69,-110,-110,-110,-67,-110,-77,-67,-77,-53,-77,-68,-110,-110,-70,-67,-110,-110,-110,-68,-67,-67,-85,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_2,2,0,1.0,-110,-71,-110,-70,-60,-61,-110,-72,-82,-82,-110,-46,-47,-64,-84,-84,-46,-70,-72,-71,-71,-71,-61,-72,-64,-63,-61,-66,-70,-62,-62,-63,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_3,3,0,1.0,-110,-77,-110,-76,-58,-59,-110,-78,-85,-85,-110,-58,-59,-65,-84,-84,-59,-61,-82,-75,-62,-75,-59,-75,-67,-83,-82,-69,-61,-63,-64,-63,-62,-62,-62,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_4,4,0,1.0,-110,-74,-110,-74,-63,-62,-110,-77,-85,-85,-110,-65,-65,-69,-85,-85,-64,-62,-87,-81,-62,-82,-64,-82,-66,-83,-88,-67,-62,-63,-64,-63,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_5,5,0,1.0,-110,-74,-110,-74,-63,-62,-110,-77,-85,-85,-110,-65,-65,-69,-85,-85,-64,-62,-87,-81,-62,-82,-64,-82,-66,-110,-88,-67,-62,-110,-110,-110,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_6,6,0,1.0,-110,-74,-110,-74,-63,-62,-110,-77,-85,-85,-110,-65,-65,-69,-85,-85,-64,-62,-87,-81,-62,-82,-64,-82,-66,-110,-88,-67,-62,-110,-110,-110,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
 LAB_0_12PM_A_7,7,0,1.0,-110,-74,-110,-74,-57,-57,-110,-77,-85,-85,-110,-65,-65,-64,-85,-85,-64,-69,-87,-79,-70,-78,-58,-79,-63,-110,-90,-64,-69,-110,-110,-110,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,12
